spp_site,PC1,PC2,PC3,PC4,PC5,PC6
PARNASSIA PALUSTRIS_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
RANUNCULUS sp._allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
CREPIS BIENNIS_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
TEUCRIUM CHAMAEDRYS_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
ASPERULA CYNANCHICA_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
GALIUM VERUM_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
ECHIUM VULGARE_allmendb.ch,0.087281223,0.203182622,0.125988264,-0.025485889,0.175357101,-0.002992838
EUPHORBIA CYPARISSIAS_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
FESTUCA OVINA_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
AGRIMONIA EUPATORIA_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
ANTHYLLIS VULNERARIA_allmendb.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
PIMPINELLA SAXIFRAGA_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
HELIANTHEMUM NUMMULARIUM var. GRANDIFLORUM_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
CENTAUREA JACEA_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
CAREX CARYOPHYLLEA_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
SCABIOSA COLUMBARIA_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
ANTHYLLIS VULNERARIA_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
HIPPOCREPIS COMOSA_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
TRIFOLIUM MONTANUM_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
PRUNELLA VULGARIS_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
THYMUS SERPYLLUM_allmendo.ch,0.151392199,0.016347937,0.056113403,-0.155800739,-0.079465905,0.133455039
TEUCRIUM CHAMAEDRYS_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
TEUCRIUM MONTANUM_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
LINUM CATHARTICUM_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
GLOBULARIA VULGARIS_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
PLANTAGO LANCEOLATA_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
BRACHYPODIUM PINNATUM_allmendo.ch,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
BROMUS ERECTUS_allmendo.ch,0.023460264,0.272671201,0.131533908,-0.013209563,-0.074183291,-0.054116708
BRIZA MEDIA_allmendo.ch,0.023460264,0.272671201,0.131533908,-0.013209563,-0.074183291,-0.054116708
FESTUCA OVINA_allmendo.ch,0.023460264,0.272671201,0.131533908,-0.013209563,-0.074183291,-0.054116708
HELICTOTRICHON PRATENSE_allmendo.ch,0.023460264,0.272671201,0.131533908,-0.013209563,-0.074183291,-0.054116708
ASPERULA CYNANCHICA_allmendo.ch,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
GALIUM VERUM_allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
RHINANTHUS MINOR_allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CENTAUREA SCABIOSA_allmendo.ch,0.117356423,-0.060313553,-0.190142541,-0.112275734,-0.076671032,-0.268875804
SALVIA PRATENSIS_allmendo.ch,0.031606638,0.078230803,-0.226742578,-0.148040857,0.061048666,-0.275417792
POLYGALA VULGARIS_allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
POTENTILLA GRANDIFLORA_allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
FORB sp._allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
LOTUS CORNICULATUS_allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
ACHILLEA MILLEFOLIUM_allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
SANGUISORBA MINOR_allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
LEONTODON HISPIDUS_allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CAREX FLACCA_allmendo.ch,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
EUPHORBIA CYPARISSIAS_allmendo.ch,-0.117377467,-0.009120192,-0.012381041,-0.039185431,0.200907307,0.045303811
CREPIS CAPILLARIS_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CREPIS BIENNIS_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
SONCHUS ASPER_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
TARAXACUM TARAXACUM_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
CIRSIUM ARVENSE_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
PICRIS HIERACIOIDES_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
EPILOBIUM TETRAGONUM_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
APERA SPICA-VENTI_baddrt.de,0.016449323,-0.054853648,0.145583809,0.150349444,0.054165917,-0.094580443
RUMEX CRISPUS_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
GALIUM APARINE_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
BROMUS HORDEACEUS_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
VULPIA MYUROS_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
TRIPLEUROSPERMUM INODORUM_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
FALLOPIA CONVOLVULUS_baddrt.de,-0.026368137,-0.154400427,0.033865953,0.010183626,-0.01349344,0.0332937
ATRIPLEX PROSTRATA_baddrt.de,0.084669863,0.209143709,0.10254922,-0.065356995,0.315226294,-0.017886422
CARDUUS CRISPUS_baddrt.de,0.023460264,0.272671201,0.131533908,-0.013209563,-0.074183291,-0.054116708
SOLIDAGO CANADENSIS_baddrt.de,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
VICIA SEPIUM_baddrt.de,0.16159003,0.084561807,0.163748777,0.014823777,0.000299625,-0.012799052
