"site_code","block","plot","subplot","year","mass","mass_category","note_biomass"
"baddrt.de",1,1,"A",2015,188.94,"anpp","anpp includes WOODY"
"baddrt.de",1,1,"A",2016,349.1,"anpp","anpp includes WOODY"
"baddrt.de",1,1,"A",2017,272.75,"anpp","anpp includes WOODY"
"baddrt.de",1,1,"A",2018,55.35,"anpp","anpp includes WOODY"
"baddrt.de",1,1,"A",2019,34.4,"anpp","anpp includes WOODY"
"baddrt.de",1,2,"A",2015,808.09,"anpp","anpp includes WOODY"
"baddrt.de",1,2,"A",2016,207.18,"anpp","anpp includes WOODY"
"baddrt.de",1,2,"A",2017,117.85,"anpp","anpp includes WOODY"
"baddrt.de",1,2,"A",2018,96.15,"anpp","anpp includes WOODY"
"baddrt.de",1,2,"A",2019,93.9,"anpp","anpp includes WOODY"
"baddrt.de",1,3,"A",2015,484.94,"anpp","anpp includes WOODY"
"baddrt.de",1,3,"A",2016,152.85,"anpp","anpp includes WOODY"
"baddrt.de",1,3,"A",2017,80.6,"anpp","anpp includes WOODY"
"baddrt.de",1,3,"A",2018,47.35,"anpp","anpp includes WOODY"
"baddrt.de",1,3,"A",2019,14.6,"anpp","anpp includes WOODY"
"baddrt.de",1,4,"A",2015,880.49,"anpp","anpp includes WOODY"
"baddrt.de",1,4,"A",2016,259.6,"anpp","anpp includes WOODY"
"baddrt.de",1,4,"A",2017,209.55,"anpp","anpp includes WOODY"
"baddrt.de",1,4,"A",2018,58.2,"anpp","anpp includes WOODY"
"baddrt.de",1,4,"A",2019,121.9,"anpp","anpp includes WOODY"
"baddrt.de",1,5,"A",2015,635.14,"anpp","anpp includes WOODY"
"baddrt.de",1,5,"A",2016,531.52,"anpp","anpp includes WOODY"
"baddrt.de",1,5,"A",2017,798.2,"anpp","anpp includes WOODY"
"baddrt.de",1,5,"A",2018,140.15,"anpp","anpp includes WOODY"
"baddrt.de",1,5,"A",2019,33.85,"anpp","anpp includes WOODY"
"baddrt.de",2,6,"A",2015,207.61,"anpp","anpp includes WOODY"
"baddrt.de",2,6,"A",2016,570,"anpp","anpp includes WOODY"
"baddrt.de",2,6,"A",2017,778.25,"anpp","anpp includes WOODY"
"baddrt.de",2,6,"A",2018,98.1,"anpp","anpp includes WOODY"
"baddrt.de",2,6,"A",2019,45,"anpp","anpp includes WOODY"
"baddrt.de",2,7,"A",2015,582.59,"anpp","anpp includes WOODY"
